Team,Nickname,City,State,Abbr
Auburn,Tigers,Auburn,Alabama,al
Alabama,Crimson Tide,Tuscaloosa,Alabama,al
Arizona,Wildcats,Tucson,Arizona,az
Arkansas,Razorbacks,Fayettville,Arkansas,ar
San Diego State,Aztecs,San Diego,California,ca
CSU Fullerton,Titans,Fullerton,California,ca
Miami,Hurricanes,Coral Gables,Florida,fl
Florida State,Seminoles,Tallahassee,Florida,fl
Florida,Gators,Gainesville,Florida,fl
Georgia State,Panthers,Atlanta,Georgia,ga
Loyola-Chicago,Ramblers,Chicago,Illinois,il
Purdue,Boilermakers,West Lafayette,Indiana,in
Butler,Bulldogs,Indianapolis,Indiana,in
Kansas State,Wildcats,Manhattan,Kansas,ks
Kansas,Jayhawks,Lawrence,Kansas,ks
Wichita State,Shockers,Wichita,Kansas,ks
Kentucky,Wildcats,Lexington,Kentucky,ky
Murray State,Racers,Murray,Kentucky,ky
UMBC,Retrievers,Baltimore,Maryland,md
Michigan,Wolverines,Ann Arbor,Michigan,mi
Michigan State,Spartans,East Lansing,Michigan,mi
Missouri,Tigers,Columbia,Missouri,mo
Montana,Grizzlies,Missoula,Montana,mt
Creighton,Blue Jays,Omaha,Nebraska,ne
Nevada,Wolf Pack,Reno,Nevada,nv
Seton Hall,Pirates,South Orange,New Jersey,nj
New Mexico State,Aggies,Las Cruces,New Mexico,nm
Buffalo,Bulls,Buffalo,New York,ny
Iona,Gaels,New Rochelle,New York,ny
Syracuse,Orange,Syracuse,New York,ny
St. Bonaventure,Bonnies,St. Bonaventure,New York,ny
Davidson,Wildcats,Davidson,North Carolina,nc
UNC Greensboro,Spartans,Greensboro,North Carolina,nc
North Carolina,Tar Heels,Chapel Hill,North Carolina,nc
Duke,Blue Devils,Durham,North Carolina,nc
North Carolina State,Wolfpack,Raleigh,North Carolina,nc
Wright State,Raiders,Dayton,Ohio,oh
Cincinnati,Bearcats,Cincinnati,Ohio,oh
Xavier,Musketeers,Cincinnati,Ohio,oh
Ohio State,Buckeyes,Columbus,Ohio,oh
Oklahoma,Sooners,Norman,Oklahoma,ok
Bucknell,Bison,Lewisburg,Pennsylvania,pa
Penn,Quakers,Philadelphia,Pennsylvania,pa
Villanova,Wildcats,Villanova,Pennsylvania,pa
Providence,Friars,Providence,Rhode Island,ri
Rhode Island,Rams,Kingston,Rhode Island,ri
Charleston,Cougars,Charleston,South Carolina,sc
Clemson,Tigers,Clemson,South Carolina,sc
South Dakota State,Jackrabbits,Brookings,South Dakota,sd
Tennessee,Volunteers,Knoxville,Tennessee,tn
Lipscomb,Bisons,Nashville,Tennessee,tn
Texas,Longhorns,Austin,Texas,tx
Texas Southern,Tigers,Houston,Texas,tx
Houston,Cougars,Houston,Texas,tx
Texas A&M,Aggies,College Station,Texas,tx
TCU,Horned Frogs,Fort Worth,Texas,tx
Texas Tech,Red Raiders,Lubbock,Texas,tx
Stephen F. Austin,Lumberjacks,Nacogdoches,Texas,tx
Virginia,Cavaliers,Charlottesville,Virginia,va
Virgina Tech,Hokies,Blacksburg,Virginia,va
Radford,Highlanders,Radford,Virginia,va
Gonzaga,Bulldogs,Spokane,Washington,wa
Marshall,Thundering Herd,Huntington,West Virginia,wv
West Virginia,Mountaineers,Morgantown,West Virginia,wv
